Criteria,CA,FR,DE,IT,JP,UK,USA
C1,53198.17,46480.62,53637.8,39189.37,38617.47,47226.09,65835.58
C2,64.73,66.02,76.09,59.07,77.95,75.61,62.56
C3,0.31,0.29,0.28,0.33,0.33,0.35,0.39
C4,20199.55,29682.22,43769.63,25941.4,68863.34,33964.07,163538.7
C5,0.3,0.25,0.25,0.4,0.33,0.34,0.38
C6,0.12,0.08,0.1,0.13,0.15,0.11,0.17
C7,1670,1505,1386.1,1717.8,1644,1538,1779
C8,51.7,52.9,33.3,27.8,15.8,30.8,16.7
C9,4,122,237,205,347,275,36
C10,57.88,36.89,29.06,19.32,51.92,45.78,47.43
C11,49.052,77.838,82.723,61.715,32.416,24.991,35.205
C12,12.917,10.201,8.373,5.311,4.265,17.918,5.18
C13,54.4,54.31,49.33,56.07,36.87,54.47,55.41
C14,20.89,31.68,24.76,25.36,23.51,24.49,30.02